vessel_id,vessel_name,current_region,route_corridor,cargo_type,value_usd,priority,status,origin_port,destination_port
V00219,Red-099,Red Sea,Red-Sea-Corridor,LNG Equipment,11332500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00220,Red-100,Red Sea,Red-Sea-Corridor,Telecom Hardware,7050000.00,High,Scheduled,Hamburg,Manila
V00221,Red-101,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,10267500.00,Critical,At Sea,Los Angeles,Singapore
V00222,Red-102,Red Sea,Red-Sea-Corridor,Crude Oil,25785000.00,Critical,In Transit,Houston,London
V00223,Red-103,Red Sea,Red-Sea-Corridor,Consumer Electronics,8202500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00224,Red-104,Red Sea,Red-Sea-Corridor,Medical Supplies,5020000.00,High,Customs Hold,Busan,Shanghai
V00225,Red-105,Red Sea,Red-Sea-Corridor,Automotive Components,5937500.00,High,Scheduled,Yokohama,Jebel Ali
V00226,Red-106,Red Sea,Red-Sea-Corridor,Industrial Machinery,7655000.00,Medium,At Sea,Kaohsiung,Panama City
V00227,Red-107,Red Sea,Red-Sea-Corridor,Battery Cells,9072500.00,High,In Transit,Dubai,Suez
V00228,Red-108,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,4490000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00229,Red-109,Red Sea,Red-Sea-Corridor,LNG Equipment,11507500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00230,Red-110,Red Sea,Red-Sea-Corridor,Telecom Hardware,7225000.00,High,Scheduled,Hamburg,Manila
V00231,Red-111,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,10442500.00,Critical,At Sea,Los Angeles,Singapore
V00232,Red-112,Red Sea,Red-Sea-Corridor,Crude Oil,25960000.00,Critical,In Transit,Houston,London
V00233,Red-113,Red Sea,Red-Sea-Corridor,Consumer Electronics,8377500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00234,Red-114,Red Sea,Red-Sea-Corridor,Medical Supplies,5195000.00,High,Customs Hold,Busan,Shanghai
V00235,Red-115,Red Sea,Red-Sea-Corridor,Automotive Components,6112500.00,High,Scheduled,Yokohama,Jebel Ali
V00236,Red-116,Red Sea,Red-Sea-Corridor,Industrial Machinery,7830000.00,Medium,At Sea,Kaohsiung,Panama City
V00237,Red-117,Red Sea,Red-Sea-Corridor,Battery Cells,9247500.00,High,In Transit,Dubai,Suez
V00238,Red-118,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,4665000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00239,Red-119,Red Sea,Red-Sea-Corridor,LNG Equipment,11682500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00240,Red-120,Red Sea,Red-Sea-Corridor,Telecom Hardware,7400000.00,High,Scheduled,Hamburg,Manila
V00241,Suez-001,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,8517500.00,Critical,At Sea,Los Angeles,Singapore
V00242,Suez-002,Suez Canal,Suez-Med-Corridor,Crude Oil,24035000.00,Critical,In Transit,Houston,London
V00243,Suez-003,Suez Canal,Suez-Med-Corridor,Consumer Electronics,6452500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00244,Suez-004,Suez Canal,Suez-Med-Corridor,Medical Supplies,3270000.00,High,Customs Hold,Busan,Shanghai
V00245,Suez-005,Suez Canal,Suez-Med-Corridor,Automotive Components,4187500.00,High,Scheduled,Yokohama,Jebel Ali
V00246,Suez-006,Suez Canal,Suez-Med-Corridor,Industrial Machinery,5905000.00,Medium,At Sea,Kaohsiung,Panama City
V00247,Suez-007,Suez Canal,Suez-Med-Corridor,Battery Cells,7322500.00,High,In Transit,Dubai,Suez
V00248,Suez-008,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,2740000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00249,Suez-009,Suez Canal,Suez-Med-Corridor,LNG Equipment,9757500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00250,Suez-010,Suez Canal,Suez-Med-Corridor,Telecom Hardware,5475000.00,High,Scheduled,Hamburg,Manila
V00251,Suez-011,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,8692500.00,Critical,At Sea,Los Angeles,Singapore
V00252,Suez-012,Suez Canal,Suez-Med-Corridor,Crude Oil,24210000.00,Critical,In Transit,Houston,London
V00253,Suez-013,Suez Canal,Suez-Med-Corridor,Consumer Electronics,6627500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00254,Suez-014,Suez Canal,Suez-Med-Corridor,Medical Supplies,3445000.00,High,Customs Hold,Busan,Shanghai
V00255,Suez-015,Suez Canal,Suez-Med-Corridor,Automotive Components,4362500.00,High,Scheduled,Yokohama,Jebel Ali
V00256,Suez-016,Suez Canal,Suez-Med-Corridor,Industrial Machinery,6080000.00,Medium,At Sea,Kaohsiung,Panama City
V00257,Suez-017,Suez Canal,Suez-Med-Corridor,Battery Cells,7497500.00,High,In Transit,Dubai,Suez
V00258,Suez-018,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,2915000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00259,Suez-019,Suez Canal,Suez-Med-Corridor,LNG Equipment,9932500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00260,Suez-020,Suez Canal,Suez-Med-Corridor,Telecom Hardware,5650000.00,High,Scheduled,Hamburg,Manila
V00261,Suez-021,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,8867500.00,Critical,At Sea,Los Angeles,Singapore
V00262,Suez-022,Suez Canal,Suez-Med-Corridor,Crude Oil,24385000.00,Critical,In Transit,Houston,London
V00263,Suez-023,Suez Canal,Suez-Med-Corridor,Consumer Electronics,6802500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00264,Suez-024,Suez Canal,Suez-Med-Corridor,Medical Supplies,3620000.00,High,Customs Hold,Busan,Shanghai
V00265,Suez-025,Suez Canal,Suez-Med-Corridor,Automotive Components,4537500.00,High,Scheduled,Yokohama,Jebel Ali
V00266,Suez-026,Suez Canal,Suez-Med-Corridor,Industrial Machinery,6255000.00,Medium,At Sea,Kaohsiung,Panama City
V00267,Suez-027,Suez Canal,Suez-Med-Corridor,Battery Cells,7672500.00,High,In Transit,Dubai,Suez
V00268,Suez-028,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,3090000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00269,Suez-029,Suez Canal,Suez-Med-Corridor,LNG Equipment,10107500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00270,Suez-030,Suez Canal,Suez-Med-Corridor,Telecom Hardware,5825000.00,High,Scheduled,Hamburg,Manila
V00271,Suez-031,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,9042500.00,Critical,At Sea,Los Angeles,Singapore
V00272,Suez-032,Suez Canal,Suez-Med-Corridor,Crude Oil,24560000.00,Critical,In Transit,Houston,London
V00273,Suez-033,Suez Canal,Suez-Med-Corridor,Consumer Electronics,6977500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00274,Suez-034,Suez Canal,Suez-Med-Corridor,Medical Supplies,3795000.00,High,Customs Hold,Busan,Shanghai
V00275,Suez-035,Suez Canal,Suez-Med-Corridor,Automotive Components,4712500.00,High,Scheduled,Yokohama,Jebel Ali
V00276,Suez-036,Suez Canal,Suez-Med-Corridor,Industrial Machinery,6430000.00,Medium,At Sea,Kaohsiung,Panama City
V00277,Suez-037,Suez Canal,Suez-Med-Corridor,Battery Cells,7847500.00,High,In Transit,Dubai,Suez
V00278,Suez-038,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,3265000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00279,Suez-039,Suez Canal,Suez-Med-Corridor,LNG Equipment,10282500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00280,Suez-040,Suez Canal,Suez-Med-Corridor,Telecom Hardware,6000000.00,High,Scheduled,Hamburg,Manila
V00281,Suez-041,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,9217500.00,Critical,At Sea,Los Angeles,Singapore
V00282,Suez-042,Suez Canal,Suez-Med-Corridor,Crude Oil,24735000.00,Critical,In Transit,Houston,London
V00283,Suez-043,Suez Canal,Suez-Med-Corridor,Consumer Electronics,7152500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00284,Suez-044,Suez Canal,Suez-Med-Corridor,Medical Supplies,3970000.00,High,Customs Hold,Busan,Shanghai
V00285,Suez-045,Suez Canal,Suez-Med-Corridor,Automotive Components,4887500.00,High,Scheduled,Yokohama,Jebel Ali
V00286,Suez-046,Suez Canal,Suez-Med-Corridor,Industrial Machinery,6605000.00,Medium,At Sea,Kaohsiung,Panama City
V00287,Suez-047,Suez Canal,Suez-Med-Corridor,Battery Cells,8022500.00,High,In Transit,Dubai,Suez
V00288,Suez-048,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,3440000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00289,Suez-049,Suez Canal,Suez-Med-Corridor,LNG Equipment,10457500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00290,Suez-050,Suez Canal,Suez-Med-Corridor,Telecom Hardware,6175000.00,High,Scheduled,Hamburg,Manila
V00291,Suez-051,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,9392500.00,Critical,At Sea,Los Angeles,Singapore
V00292,Suez-052,Suez Canal,Suez-Med-Corridor,Crude Oil,24910000.00,Critical,In Transit,Houston,London
V00293,Suez-053,Suez Canal,Suez-Med-Corridor,Consumer Electronics,7327500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00294,Suez-054,Suez Canal,Suez-Med-Corridor,Medical Supplies,4145000.00,High,Customs Hold,Busan,Shanghai
V00295,Suez-055,Suez Canal,Suez-Med-Corridor,Automotive Components,5062500.00,High,Scheduled,Yokohama,Jebel Ali
V00296,Suez-056,Suez Canal,Suez-Med-Corridor,Industrial Machinery,6780000.00,Medium,At Sea,Kaohsiung,Panama City
V00297,Suez-057,Suez Canal,Suez-Med-Corridor,Battery Cells,8197500.00,High,In Transit,Dubai,Suez
V00298,Suez-058,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,3615000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00299,Suez-059,Suez Canal,Suez-Med-Corridor,LNG Equipment,10632500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00300,Suez-060,Suez Canal,Suez-Med-Corridor,Telecom Hardware,6350000.00,High,Scheduled,Hamburg,Manila
V00301,Suez-061,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,9567500.00,Critical,At Sea,Los Angeles,Singapore
V00302,Suez-062,Suez Canal,Suez-Med-Corridor,Crude Oil,25085000.00,Critical,In Transit,Houston,London
V00303,Suez-063,Suez Canal,Suez-Med-Corridor,Consumer Electronics,7502500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00304,Suez-064,Suez Canal,Suez-Med-Corridor,Medical Supplies,4320000.00,High,Customs Hold,Busan,Shanghai
V00305,Suez-065,Suez Canal,Suez-Med-Corridor,Automotive Components,5237500.00,High,Scheduled,Yokohama,Jebel Ali
V00306,Suez-066,Suez Canal,Suez-Med-Corridor,Industrial Machinery,6955000.00,Medium,At Sea,Kaohsiung,Panama City
V00307,Suez-067,Suez Canal,Suez-Med-Corridor,Battery Cells,8372500.00,High,In Transit,Dubai,Suez
V00308,Suez-068,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,3790000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00309,Suez-069,Suez Canal,Suez-Med-Corridor,LNG Equipment,10807500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00310,Suez-070,Suez Canal,Suez-Med-Corridor,Telecom Hardware,6525000.00,High,Scheduled,Hamburg,Manila
V00311,Suez-071,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,9742500.00,Critical,At Sea,Los Angeles,Singapore
V00312,Suez-072,Suez Canal,Suez-Med-Corridor,Crude Oil,25260000.00,Critical,In Transit,Houston,London
V00313,Suez-073,Suez Canal,Suez-Med-Corridor,Consumer Electronics,7677500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00314,Suez-074,Suez Canal,Suez-Med-Corridor,Medical Supplies,4495000.00,High,Customs Hold,Busan,Shanghai
V00315,Suez-075,Suez Canal,Suez-Med-Corridor,Automotive Components,5412500.00,High,Scheduled,Yokohama,Jebel Ali
V00316,Suez-076,Suez Canal,Suez-Med-Corridor,Industrial Machinery,7130000.00,Medium,At Sea,Kaohsiung,Panama City
V00317,Suez-077,Suez Canal,Suez-Med-Corridor,Battery Cells,8547500.00,High,In Transit,Dubai,Suez
V00318,Suez-078,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,3965000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00319,Suez-079,Suez Canal,Suez-Med-Corridor,LNG Equipment,10982500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00320,Suez-080,Suez Canal,Suez-Med-Corridor,Telecom Hardware,6700000.00,High,Scheduled,Hamburg,Manila
V00321,Suez-081,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,9917500.00,Critical,At Sea,Los Angeles,Singapore
V00322,Suez-082,Suez Canal,Suez-Med-Corridor,Crude Oil,25435000.00,Critical,In Transit,Houston,London
V00323,Suez-083,Suez Canal,Suez-Med-Corridor,Consumer Electronics,7852500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00324,Suez-084,Suez Canal,Suez-Med-Corridor,Medical Supplies,4670000.00,High,Customs Hold,Busan,Shanghai
V00325,Suez-085,Suez Canal,Suez-Med-Corridor,Automotive Components,5587500.00,High,Scheduled,Yokohama,Jebel Ali
V00326,Suez-086,Suez Canal,Suez-Med-Corridor,Industrial Machinery,7305000.00,Medium,At Sea,Kaohsiung,Panama City
V00327,Suez-087,Suez Canal,Suez-Med-Corridor,Battery Cells,8722500.00,High,In Transit,Dubai,Suez
V00328,Suez-088,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,4140000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00329,Suez-089,Suez Canal,Suez-Med-Corridor,LNG Equipment,11157500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00330,Suez-090,Suez Canal,Suez-Med-Corridor,Telecom Hardware,6875000.00,High,Scheduled,Hamburg,Manila
V00331,Suez-091,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,10092500.00,Critical,At Sea,Los Angeles,Singapore
V00332,Suez-092,Suez Canal,Suez-Med-Corridor,Crude Oil,25610000.00,Critical,In Transit,Houston,London
V00333,Suez-093,Suez Canal,Suez-Med-Corridor,Consumer Electronics,8027500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00334,Suez-094,Suez Canal,Suez-Med-Corridor,Medical Supplies,4845000.00,High,Customs Hold,Busan,Shanghai
V00335,Suez-095,Suez Canal,Suez-Med-Corridor,Automotive Components,5762500.00,High,Scheduled,Yokohama,Jebel Ali
V00336,Suez-096,Suez Canal,Suez-Med-Corridor,Industrial Machinery,7480000.00,Medium,At Sea,Kaohsiung,Panama City
V00337,Suez-097,Suez Canal,Suez-Med-Corridor,Battery Cells,8897500.00,High,In Transit,Dubai,Suez
V00338,Suez-098,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,4315000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00339,Suez-099,Suez Canal,Suez-Med-Corridor,LNG Equipment,11332500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00340,Suez-100,Suez Canal,Suez-Med-Corridor,Telecom Hardware,7050000.00,High,Scheduled,Hamburg,Manila
V00341,Suez-101,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,10267500.00,Critical,At Sea,Los Angeles,Singapore
V00342,Suez-102,Suez Canal,Suez-Med-Corridor,Crude Oil,25785000.00,Critical,In Transit,Houston,London
V00343,Suez-103,Suez Canal,Suez-Med-Corridor,Consumer Electronics,8202500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00344,Suez-104,Suez Canal,Suez-Med-Corridor,Medical Supplies,5020000.00,High,Customs Hold,Busan,Shanghai
V00345,Suez-105,Suez Canal,Suez-Med-Corridor,Automotive Components,5937500.00,High,Scheduled,Yokohama,Jebel Ali
V00346,Suez-106,Suez Canal,Suez-Med-Corridor,Industrial Machinery,7655000.00,Medium,At Sea,Kaohsiung,Panama City
V00347,Suez-107,Suez Canal,Suez-Med-Corridor,Battery Cells,9072500.00,High,In Transit,Dubai,Suez
V00348,Suez-108,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,4490000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00349,Suez-109,Suez Canal,Suez-Med-Corridor,LNG Equipment,11507500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00350,Suez-110,Suez Canal,Suez-Med-Corridor,Telecom Hardware,7225000.00,High,Scheduled,Hamburg,Manila
V00351,Suez-111,Suez Canal,Suez-Med-Corridor,Semiconductor Wafers,10442500.00,Critical,At Sea,Los Angeles,Singapore
V00352,Suez-112,Suez Canal,Suez-Med-Corridor,Crude Oil,25960000.00,Critical,In Transit,Houston,London
V00353,Suez-113,Suez Canal,Suez-Med-Corridor,Consumer Electronics,8377500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00354,Suez-114,Suez Canal,Suez-Med-Corridor,Medical Supplies,5195000.00,High,Customs Hold,Busan,Shanghai
V00355,Suez-115,Suez Canal,Suez-Med-Corridor,Automotive Components,6112500.00,High,Scheduled,Yokohama,Jebel Ali
V00356,Suez-116,Suez Canal,Suez-Med-Corridor,Industrial Machinery,7830000.00,Medium,At Sea,Kaohsiung,Panama City
V00357,Suez-117,Suez Canal,Suez-Med-Corridor,Battery Cells,9247500.00,High,In Transit,Dubai,Suez
V00358,Suez-118,Suez Canal,Suez-Med-Corridor,Containerized Retail Goods,4665000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00359,Suez-119,Suez Canal,Suez-Med-Corridor,LNG Equipment,11682500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00360,Suez-120,Suez Canal,Suez-Med-Corridor,Telecom Hardware,7400000.00,High,Scheduled,Hamburg,Manila
V00361,Panama-001,Panama Canal,Panama-Pacific-Corridor,Semiconductor Wafers,8517500.00,Critical,At Sea,Los Angeles,Singapore
V00362,Panama-002,Panama Canal,Panama-Pacific-Corridor,Crude Oil,24035000.00,Critical,In Transit,Houston,London
V00363,Panama-003,Panama Canal,Panama-Pacific-Corridor,Consumer Electronics,6452500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00364,Panama-004,Panama Canal,Panama-Pacific-Corridor,Medical Supplies,3270000.00,High,Customs Hold,Busan,Shanghai
V00365,Panama-005,Panama Canal,Panama-Pacific-Corridor,Automotive Components,4187500.00,High,Scheduled,Yokohama,Jebel Ali
V00366,Panama-006,Panama Canal,Panama-Pacific-Corridor,Industrial Machinery,5905000.00,Medium,At Sea,Kaohsiung,Panama City
V00367,Panama-007,Panama Canal,Panama-Pacific-Corridor,Battery Cells,7322500.00,High,In Transit,Dubai,Suez
V00368,Panama-008,Panama Canal,Panama-Pacific-Corridor,Containerized Retail Goods,2740000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00369,Panama-009,Panama Canal,Panama-Pacific-Corridor,LNG Equipment,9757500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00370,Panama-010,Panama Canal,Panama-Pacific-Corridor,Telecom Hardware,5475000.00,High,Scheduled,Hamburg,Manila
V00371,Panama-011,Panama Canal,Panama-Pacific-Corridor,Semiconductor Wafers,8692500.00,Critical,At Sea,Los Angeles,Singapore
V00372,Panama-012,Panama Canal,Panama-Pacific-Corridor,Crude Oil,24210000.00,Critical,In Transit,Houston,London
V00373,Panama-013,Panama Canal,Panama-Pacific-Corridor,Consumer Electronics,6627500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00374,Panama-014,Panama Canal,Panama-Pacific-Corridor,Medical Supplies,3445000.00,High,Customs Hold,Busan,Shanghai
V00375,Panama-015,Panama Canal,Panama-Pacific-Corridor,Automotive Components,4362500.00,High,Scheduled,Yokohama,Jebel Ali
V00376,Panama-016,Panama Canal,Panama-Pacific-Corridor,Industrial Machinery,6080000.00,Medium,At Sea,Kaohsiung,Panama City
V00377,Panama-017,Panama Canal,Panama-Pacific-Corridor,Battery Cells,7497500.00,High,In Transit,Dubai,Suez
V00378,Panama-018,Panama Canal,Panama-Pacific-Corridor,Containerized Retail Goods,2915000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00379,Panama-019,Panama Canal,Panama-Pacific-Corridor,LNG Equipment,9932500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00380,Panama-020,Panama Canal,Panama-Pacific-Corridor,Telecom Hardware,5650000.00,High,Scheduled,Hamburg,Manila
V00381,Panama-021,Panama Canal,Panama-Pacific-Corridor,Semiconductor Wafers,8867500.00,Critical,At Sea,Los Angeles,Singapore
V00382,Panama-022,Panama Canal,Panama-Pacific-Corridor,Crude Oil,24385000.00,Critical,In Transit,Houston,London
V00383,Panama-023,Panama Canal,Panama-Pacific-Corridor,Consumer Electronics,6802500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00384,Panama-024,Panama Canal,Panama-Pacific-Corridor,Medical Supplies,3620000.00,High,Customs Hold,Busan,Shanghai
V00385,Panama-025,Panama Canal,Panama-Pacific-Corridor,Automotive Components,4537500.00,High,Scheduled,Yokohama,Jebel Ali
V00386,Panama-026,Panama Canal,Panama-Pacific-Corridor,Industrial Machinery,6255000.00,Medium,At Sea,Kaohsiung,Panama City
V00387,Panama-027,Panama Canal,Panama-Pacific-Corridor,Battery Cells,7672500.00,High,In Transit,Dubai,Suez
V00388,Panama-028,Panama Canal,Panama-Pacific-Corridor,Containerized Retail Goods,3090000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00389,Panama-029,Panama Canal,Panama-Pacific-Corridor,LNG Equipment,10107500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00390,Panama-030,Panama Canal,Panama-Pacific-Corridor,Telecom Hardware,5825000.00,High,Scheduled,Hamburg,Manila
V00391,Panama-031,Panama Canal,Panama-Pacific-Corridor,Semiconductor Wafers,9042500.00,Critical,At Sea,Los Angeles,Singapore
V00392,Panama-032,Panama Canal,Panama-Pacific-Corridor,Crude Oil,24560000.00,Critical,In Transit,Houston,London
V00393,Panama-033,Panama Canal,Panama-Pacific-Corridor,Consumer Electronics,6977500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00394,Panama-034,Panama Canal,Panama-Pacific-Corridor,Medical Supplies,3795000.00,High,Customs Hold,Busan,Shanghai
V00395,Panama-035,Panama Canal,Panama-Pacific-Corridor,Automotive Components,4712500.00,High,Scheduled,Yokohama,Jebel Ali
V00396,Panama-036,Panama Canal,Panama-Pacific-Corridor,Industrial Machinery,6430000.00,Medium,At Sea,Kaohsiung,Panama City
V00397,Panama-037,Panama Canal,Panama-Pacific-Corridor,Battery Cells,7847500.00,High,In Transit,Dubai,Suez
V00398,Panama-038,Panama Canal,Panama-Pacific-Corridor,Containerized Retail Goods,3265000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00399,Panama-039,Panama Canal,Panama-Pacific-Corridor,LNG Equipment,10282500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00400,Panama-040,Panama Canal,Panama-Pacific-Corridor,Telecom Hardware,6000000.00,High,Scheduled,Hamburg,Manila
V00401,Panama-041,Panama Canal,Panama-Pacific-Corridor,Semiconductor Wafers,9217500.00,Critical,At Sea,Los Angeles,Singapore
V00402,Panama-042,Panama Canal,Panama-Pacific-Corridor,Crude Oil,24735000.00,Critical,In Transit,Houston,London
V00403,Panama-043,Panama Canal,Panama-Pacific-Corridor,Consumer Electronics,7152500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00404,Panama-044,Panama Canal,Panama-Pacific-Corridor,Medical Supplies,3970000.00,High,Customs Hold,Busan,Shanghai
V00405,Panama-045,Panama Canal,Panama-Pacific-Corridor,Automotive Components,4887500.00,High,Scheduled,Yokohama,Jebel Ali
V00406,Panama-046,Panama Canal,Panama-Pacific-Corridor,Industrial Machinery,6605000.00,Medium,At Sea,Kaohsiung,Panama City
V00407,Panama-047,Panama Canal,Panama-Pacific-Corridor,Battery Cells,8022500.00,High,In Transit,Dubai,Suez
V00408,Panama-048,Panama Canal,Panama-Pacific-Corridor,Containerized Retail Goods,3440000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00409,Panama-049,Panama Canal,Panama-Pacific-Corridor,LNG Equipment,10457500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00410,Panama-050,Panama Canal,Panama-Pacific-Corridor,Telecom Hardware,6175000.00,High,Scheduled,Hamburg,Manila
V00411,Panama-051,Panama Canal,Panama-Pacific-Corridor,Semiconductor Wafers,9392500.00,Critical,At Sea,Los Angeles,Singapore
V00412,Panama-052,Panama Canal,Panama-Pacific-Corridor,Crude Oil,24910000.00,Critical,In Transit,Houston,London
V00413,Panama-053,Panama Canal,Panama-Pacific-Corridor,Consumer Electronics,7327500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00414,Panama-054,Panama Canal,Panama-Pacific-Corridor,Medical Supplies,4145000.00,High,Customs Hold,Busan,Shanghai
V00415,Panama-055,Panama Canal,Panama-Pacific-Corridor,Automotive Components,5062500.00,High,Scheduled,Yokohama,Jebel Ali
V00416,Panama-056,Panama Canal,Panama-Pacific-Corridor,Industrial Machinery,6780000.00,Medium,At Sea,Kaohsiung,Panama City
V00417,Panama-057,Panama Canal,Panama-Pacific-Corridor,Battery Cells,8197500.00,High,In Transit,Dubai,Suez
V00418,Panama-058,Panama Canal,Panama-Pacific-Corridor,Containerized Retail Goods,3615000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00419,Panama-059,Panama Canal,Panama-Pacific-Corridor,LNG Equipment,10632500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00420,Panama-060,Panama Canal,Panama-Pacific-Corridor,Telecom Hardware,6350000.00,High,Scheduled,Hamburg,Manila
V00421,Panama-061,Panama Canal,Panama-Pacific-Corridor,Semiconductor Wafers,9567500.00,Critical,At Sea,Los Angeles,Singapore
V00422,Panama-062,Panama Canal,Panama-Pacific-Corridor,Crude Oil,25085000.00,Critical,In Transit,Houston,London
V00423,Panama-063,Panama Canal,Panama-Pacific-Corridor,Consumer Electronics,7502500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00424,Panama-064,Panama Canal,Panama-Pacific-Corridor,Medical Supplies,4320000.00,High,Customs Hold,Busan,Shanghai
V00425,Panama-065,Panama Canal,Panama-Pacific-Corridor,Automotive Components,5237500.00,High,Scheduled,Yokohama,Jebel Ali
V00426,Panama-066,Panama Canal,Panama-Pacific-Corridor,Industrial Machinery,6955000.00,Medium,At Sea,Kaohsiung,Panama City
V00427,Panama-067,Panama Canal,Panama-Pacific-Corridor,Battery Cells,8372500.00,High,In Transit,Dubai,Suez
V00428,Panama-068,Panama Canal,Panama-Pacific-Corridor,Containerized Retail Goods,3790000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00429,Panama-069,Panama Canal,Panama-Pacific-Corridor,LNG Equipment,10807500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00430,Panama-070,Panama Canal,Panama-Pacific-Corridor,Telecom Hardware,6525000.00,High,Scheduled,Hamburg,Manila
V00431,Panama-071,Panama Canal,Panama-Pacific-Corridor,Semiconductor Wafers,9742500.00,Critical,At Sea,Los Angeles,Singapore
V00432,Panama-072,Panama Canal,Panama-Pacific-Corridor,Crude Oil,25260000.00,Critical,In Transit,Houston,London
V00433,Panama-073,Panama Canal,Panama-Pacific-Corridor,Consumer Electronics,7677500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
